New execution instance
Iteration,Fitness,Chromosomes
0,-42.4971688178,[6.19, 26.76]
100,-42.708569342,[6.22, 0.55]
200,-42.708569342,[6.22, 0.55]
300,-42.708569342,[6.22, 0.55]
400,-42.7091280098,[6.22, 0.5]
500,-42.8428471433,[6.17, 0.5]
600,-42.8428471433,[6.17, 0.5]
700,-42.8428471433,[6.17, 0.5]
800,-42.8428471433,[6.17, 0.5]
900,-42.8428471433,[6.17, 0.5]
1000,-42.8428471433,[6.17, 0.5]

New execution instance
Iteration,Fitness,Chromosomes
0,-42.8428471433,[6.17, 0.5]
100,-42.8428471433,[6.17, 0.5]
200,-42.9177787585,[6.2, 0.5]
300,-42.9177787585,[6.2, 0.5]
400,-42.9177787585,[6.2, 0.5]
500,-42.9177787585,[6.2, 0.5]
600,-42.9177787585,[6.2, 0.5]
700,-42.9177787585,[6.2, 0.5]
800,-42.919257177,[6.18, 0.5]
900,-42.919257177,[6.18, 0.5]
1000,-42.919257177,[6.18, 0.5]

New execution instance
Iteration,Fitness,Chromosomes
0,-42.919257177,[6.18, 0.5]
100,-42.919257177,[6.18, 0.5]
200,-42.919257177,[6.18, 0.5]
300,-42.919257177,[6.18, 0.5]
400,-42.919257177,[6.18, 0.5]
500,-42.919257177,[6.18, 0.5]
600,-42.919257177,[6.18, 0.5]
700,-42.919257177,[6.18, 0.5]
800,-42.9443824133,[6.19, 0.5]
900,-42.9443824133,[6.19, 0.5]
1000,-42.9443824133,[6.19, 0.5]

