New execution instance
Iteration,Fitness,Chromosomes
0,-0.0282209677341,[2.6, -0.71]
100,-2.98227297913,[0.24, -0.09]
200,-2.98227297913,[0.24, -0.09]
300,-3.35848409359,[-0.02, 0.21]
400,-3.35848409359,[-0.02, 0.21]
500,-3.35848409359,[-0.02, 0.21]
600,-3.35848409359,[-0.02, 0.21]
700,-3.35848409359,[-0.02, 0.21]
800,-3.35848409359,[-0.02, 0.21]
900,-3.35848409359,[-0.02, 0.21]
1000,-3.35848409359,[-0.02, 0.21]

New execution instance
Iteration,Fitness,Chromosomes
0,-1.30402919429,[-0.03, 1.23]
100,-3.17219681717,[-0.4, -0.09]
200,-3.17219681717,[-0.4, -0.09]
300,-3.17219681717,[-0.4, -0.09]
400,-3.17219681717,[-0.4, -0.09]
500,-3.17219681717,[-0.4, -0.09]
600,-3.35848409359,[-0.02, 0.21]
700,-3.35848409359,[-0.02, 0.21]
800,-3.35848409359,[-0.02, 0.21]
900,-3.35848409359,[-0.02, 0.21]
1000,-3.35848409359,[-0.02, 0.21]

